scenario,n_agents,trial,seed,success,time_raw,time_effective,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
纯小车 (1x1),9,19,53952,True,0.36009931564331055,0.36009931564331055,115,12.777777777777779,26,71,,
纯小车 (1x1),9,20,14226,True,4.760777235031128,4.760777235031128,168,18.666666666666668,32,487,,
纯小车 (1x1),10,1,96451,True,0.08287572860717773,0.08287572860717773,199,19.9,37,4,,batch_performance_analysis\images\paths\纯小车_1x1_N10.png
纯小车 (1x1),10,2,69380,True,0.04162931442260742,0.04162931442260742,160,16.0,35,4,,
纯小车 (1x1),10,3,9753,True,0.04168105125427246,0.04168105125427246,163,16.3,24,6,,
纯小车 (1x1),10,4,24215,True,0.6409912109375,0.6409912109375,172,17.2,34,92,,
纯小车 (1x1),10,5,19083,True,0.029379844665527344,0.029379844665527344,129,12.9,20,4,,
纯小车 (1x1),10,6,94132,True,0.043430328369140625,0.043430328369140625,158,15.8,23,5,,
纯小车 (1x1),10,7,73150,False,0.025297164916992188,5.0,-1,-1,-1,0,NoSolution,
纯小车 (1x1),10,8,26100,True,0.14824724197387695,0.14824724197387695,105,10.5,32,17,,
纯小车 (1x1),10,9,28301,True,0.053114891052246094,0.053114891052246094,116,11.6,29,8,,
纯小车 (1x1),10,10,64489,False,0.02550363540649414,5.0,-1,-1,-1,0,NoSolution,
纯小车 (1x1),10,11,48862,True,0.0950465202331543,0.0950465202331543,159,15.9,30,7,,
纯小车 (1x1),10,12,17492,True,0.0707864761352539,0.0707864761352539,168,16.8,27,6,,
纯小车 (1x1),10,13,24094,True,0.024103164672851562,0.024103164672851562,114,11.4,24,2,,
纯小车 (1x1),10,14,5120,True,0.1164088249206543,0.1164088249206543,172,17.2,30,14,,
纯小车 (1x1),10,15,83845,True,0.07897067070007324,0.07897067070007324,132,13.2,28,11,,
纯小车 (1x1),10,16,14707,True,0.017663240432739258,0.017663240432739258,131,13.1,24,3,,
纯小车 (1x1),10,17,43779,True,0.05073356628417969,0.05073356628417969,149,14.9,25,10,,
纯小车 (1x1),10,18,17538,True,0.03859758377075195,0.03859758377075195,136,13.6,21,7,,
纯小车 (1x1),10,19,42349,True,0.09092330932617188,0.09092330932617188,157,15.7,24,14,,
纯小车 (1x1),10,20,44993,True,0.32970190048217773,0.32970190048217773,132,13.2,18,76,,
混合方块 (1x1+2x2),4,1,40230,True,0.011564016342163086,0.011564016342163086,51,12.75,18,0,,batch_performance_analysis\images\paths\混合方块_1x1+2x2_N4.png
混合方块 (1x1+2x2),4,2,76643,False,0.006680727005004883,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),4,3,34401,True,0.010434150695800781,0.010434150695800781,66,16.5,27,0,,
混合方块 (1x1+2x2),4,4,95399,True,0.006981372833251953,0.006981372833251953,42,10.5,20,0,,
混合方块 (1x1+2x2),4,5,39749,True,0.0076711177825927734,0.0076711177825927734,46,11.5,18,0,,
混合方块 (1x1+2x2),4,6,2595,True,0.008824586868286133,0.008824586868286133,52,13.0,18,0,,
混合方块 (1x1+2x2),4,7,38445,True,0.008049964904785156,0.008049964904785156,58,14.5,24,0,,
混合方块 (1x1+2x2),4,8,19134,True,0.010745048522949219,0.010745048522949219,48,12.0,26,2,,
混合方块 (1x1+2x2),4,9,78583,True,0.00482630729675293,0.00482630729675293,42,10.5,16,0,,
混合方块 (1x1+2x2),4,10,37745,True,0.007132053375244141,0.007132053375244141,53,13.25,22,0,,
混合方块 (1x1+2x2),4,11,96226,True,0.028592586517333984,0.028592586517333984,67,16.75,24,6,,
混合方块 (1x1+2x2),4,12,74233,False,0.005794048309326172,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),4,13,58527,False,0.0047342777252197266,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),4,14,8859,True,0.007474422454833984,0.007474422454833984,57,14.25,24,0,,
混合方块 (1x1+2x2),4,15,89831,True,0.029445648193359375,0.029445648193359375,48,12.0,20,12,,
混合方块 (1x1+2x2),4,16,92857,False,0.01902914047241211,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),4,17,94173,True,0.045519113540649414,0.045519113540649414,53,13.25,21,16,,
混合方块 (1x1+2x2),4,18,94406,True,0.01071476936340332,0.01071476936340332,69,17.25,25,0,,
混合方块 (1x1+2x2),4,19,75557,True,0.005767822265625,0.005767822265625,30,7.5,12,0,,
混合方块 (1x1+2x2),4,20,11319,True,0.01305842399597168,0.01305842399597168,48,12.0,15,4,,
混合方块 (1x1+2x2),5,1,93519,True,0.13862156867980957,0.13862156867980957,65,13.0,18,16,,batch_performance_analysis\images\paths\混合方块_1x1+2x2_N5.png
混合方块 (1x1+2x2),5,2,2717,True,0.026055574417114258,0.026055574417114258,65,13.0,19,8,,
混合方块 (1x1+2x2),5,3,97579,True,0.012101173400878906,0.012101173400878906,66,13.2,18,2,,
混合方块 (1x1+2x2),5,4,47032,True,0.022572040557861328,0.022572040557861328,88,17.6,30,3,,
混合方块 (1x1+2x2),5,5,75141,True,0.005452156066894531,0.005452156066894531,41,8.2,16,0,,
混合方块 (1x1+2x2),5,6,77962,True,0.008286714553833008,0.008286714553833008,46,9.2,20,0,,
混合方块 (1x1+2x2),5,7,99274,True,0.0058689117431640625,0.0058689117431640625,57,11.4,17,0,,
混合方块 (1x1+2x2),5,8,305,False,5.012450933456421,5.0,-1,-1,-1,252,Timeout,
混合方块 (1x1+2x2),5,9,25587,False,0.07284784317016602,5.0,-1,-1,-1,2,NoSolution,
混合方块 (1x1+2x2),5,10,92513,True,0.013325214385986328,0.013325214385986328,64,12.8,27,0,,
混合方块 (1x1+2x2),5,11,71020,True,0.01133584976196289,0.01133584976196289,80,16.0,25,1,,
混合方块 (1x1+2x2),5,12,16389,False,0.013484954833984375,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),5,13,97259,True,0.009818077087402344,0.009818077087402344,77,15.4,23,1,,
混合方块 (1x1+2x2),5,14,54700,True,0.004738330841064453,0.004738330841064453,54,10.8,20,0,,
混合方块 (1x1+2x2),5,15,7460,False,0.012215852737426758,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),5,16,69191,True,0.08298969268798828,0.08298969268798828,66,13.2,19,26,,
混合方块 (1x1+2x2),5,17,31576,True,0.020754337310791016,0.020754337310791016,55,11.0,18,2,,
混合方块 (1x1+2x2),5,18,6806,True,0.009610652923583984,0.009610652923583984,60,12.0,24,0,,
混合方块 (1x1+2x2),5,19,20231,True,0.012533187866210938,0.012533187866210938,74,14.8,28,0,,
混合方块 (1x1+2x2),5,20,88502,True,0.00842595100402832,0.00842595100402832,56,11.2,17,0,,
混合方块 (1x1+2x2),6,1,6950,False,0.011100292205810547,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,2,86537,True,0.10332846641540527,0.10332846641540527,72,12.0,18,29,,
混合方块 (1x1+2x2),6,3,58293,True,0.04888606071472168,0.04888606071472168,57,9.5,16,14,,
混合方块 (1x1+2x2),6,4,44346,True,0.7484984397888184,0.7484984397888184,87,14.5,22,156,,
混合方块 (1x1+2x2),6,5,57559,True,1.2076475620269775,1.2076475620269775,91,15.166666666666666,24,164,,
混合方块 (1x1+2x2),6,6,10403,False,0.014261245727539062,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),6,7,39790,False,0.010825634002685547,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,8,44004,True,0.014690637588500977,0.014690637588500977,52,8.666666666666666,24,0,,
混合方块 (1x1+2x2),6,9,42778,False,0.009199380874633789,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,10,98917,True,0.1629650592803955,0.1629650592803955,90,15.0,31,19,,
混合方块 (1x1+2x2),6,11,19907,True,0.04040837287902832,0.04040837287902832,71,11.833333333333334,20,7,,
混合方块 (1x1+2x2),6,12,69084,True,0.5545496940612793,0.5545496940612793,110,18.333333333333332,27,72,,
混合方块 (1x1+2x2),6,13,36043,True,0.13166499137878418,0.13166499137878418,63,10.5,22,47,,
混合方块 (1x1+2x2),6,14,21950,False,1.2604730129241943,5.0,-1,-1,-1,195,NoSolution,
混合方块 (1x1+2x2),6,15,9003,True,0.03347420692443848,0.03347420692443848,78,13.0,25,7,,
混合方块 (1x1+2x2),6,16,56655,True,0.19659113883972168,0.19659113883972168,75,12.5,20,37,,
混合方块 (1x1+2x2),6,17,89505,True,0.014786243438720703,0.014786243438720703,69,11.5,22,2,,
混合方块 (1x1+2x2),6,18,83446,True,0.0873556137084961,0.0873556137084961,69,11.5,23,32,,
混合方块 (1x1+2x2),6,19,67745,False,0.010692596435546875,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,20,78277,True,0.010036468505859375,0.010036468505859375,54,9.0,17,2,,
混合方块 (1x1+2x2),7,1,90209,True,0.18347525596618652,0.18347525596618652,102,14.571428571428571,33,34,,batch_performance_analysis\images\paths\混合方块_1x1+2x2_N7.png
混合方块 (1x1+2x2),7,2,40449,True,0.0503542423248291,0.0503542423248291,119,17.0,26,12,,
混合方块 (1x1+2x2),7,3,49112,False,0.010381698608398438,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,4,8467,True,0.052071571350097656,0.052071571350097656,112,16.0,25,12,,
混合方块 (1x1+2x2),7,5,67143,False,0.6596195697784424,5.0,-1,-1,-1,161,NoSolution,
混合方块 (1x1+2x2),7,6,11023,False,0.01109004020690918,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,7,59996,False,0.0076901912689208984,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,8,1600,True,0.0352323055267334,0.0352323055267334,106,15.142857142857142,26,5,,
混合方块 (1x1+2x2),7,9,9275,True,0.09218883514404297,0.09218883514404297,105,15.0,28,19,,
混合方块 (1x1+2x2),7,10,78386,False,0.014196634292602539,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),7,11,965,True,0.014269828796386719,0.014269828796386719,90,12.857142857142858,19,2,,
混合方块 (1x1+2x2),7,12,1641,True,0.16815781593322754,0.16815781593322754,90,12.857142857142858,22,33,,
混合方块 (1x1+2x2),7,13,23652,False,0.01347041130065918,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,14,10619,False,0.016840696334838867,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),7,15,94087,False,0.01065683364868164,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,16,79309,True,0.044492483139038086,0.044492483139038086,113,16.142857142857142,27,5,,
混合方块 (1x1+2x2),7,17,29831,False,0.007918834686279297,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),7,18,60294,False,0.013216018676757812,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),7,19,49813,False,0.008186101913452148,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,20,52525,False,5.019829988479614,5.0,-1,-1,-1,601,Timeout,
混合方块 (1x1+2x2),8,1,61485,False,0.00927281379699707,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,2,13220,True,0.02413153648376465,0.02413153648376465,78,9.75,22,6,,
混合方块 (1x1+2x2),8,3,30943,False,0.015413045883178711,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,4,43291,False,0.788297176361084,5.0,-1,-1,-1,123,NoSolution,
混合方块 (1x1+2x2),8,5,93736,False,0.042786598205566406,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,6,40626,False,0.01701045036315918,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,7,29122,False,0.021448373794555664,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,8,68452,False,0.015950918197631836,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,9,45900,False,0.01703500747680664,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,10,6740,True,0.04458808898925781,0.04458808898925781,107,13.375,22,5,,
混合方块 (1x1+2x2),8,11,3769,False,0.2959764003753662,5.0,-1,-1,-1,97,NoSolution,
混合方块 (1x1+2x2),8,12,42166,True,0.05967092514038086,0.05967092514038086,93,11.625,25,0,,
混合方块 (1x1+2x2),8,13,59220,False,0.09541559219360352,5.0,-1,-1,-1,27,NoSolution,
混合方块 (1x1+2x2),8,14,31168,False,0.012044191360473633,5.0,-1,-1,-1,2,NoSolution,
混合方块 (1x1+2x2),8,15,40012,True,0.014671564102172852,0.014671564102172852,98,12.25,24,2,,
混合方块 (1x1+2x2),8,16,74686,True,0.05385875701904297,0.05385875701904297,59,7.375,25,10,,
混合方块 (1x1+2x2),8,17,96481,True,0.15143918991088867,0.15143918991088867,111,13.875,24,25,,
混合方块 (1x1+2x2),8,18,7830,True,0.27358412742614746,0.27358412742614746,137,17.125,36,22,,
混合方块 (1x1+2x2),8,19,58424,True,0.24347424507141113,0.24347424507141113,129,16.125,22,40,,
混合方块 (1x1+2x2),8,20,10215,False,0.01440119743347168,5.0,-1,-1,-1,1,NoSolution,
混合方块 (1x1+2x2),9,1,2058,True,0.0487978458404541,0.0487978458404541,140,15.555555555555555,29,8,,batch_performance_analysis\images\paths\混合方块_1x1+2x2_N9.png
混合方块 (1x1+2x2),9,2,11838,True,0.014338254928588867,0.014338254928588867,82,9.11111111111111,21,0,,
混合方块 (1x1+2x2),9,3,16555,True,0.4903843402862549,0.4903843402862549,110,12.222222222222221,19,100,,
混合方块 (1x1+2x2),9,4,39980,False,0.008788347244262695,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,5,91109,False,0.021808862686157227,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,6,25927,False,0.014952659606933594,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,7,73641,False,0.09381437301635742,5.0,-1,-1,-1,13,NoSolution,
混合方块 (1x1+2x2),9,8,51571,False,0.01092982292175293,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,9,43760,False,0.0060291290283203125,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,10,27001,False,0.03385639190673828,5.0,-1,-1,-1,4,NoSolution,
混合方块 (1x1+2x2),9,11,7484,True,0.09598660469055176,0.09598660469055176,129,14.333333333333334,25,9,,
混合方块 (1x1+2x2),9,12,59823,True,0.02708148956298828,0.02708148956298828,115,12.777777777777779,22,2,,
混合方块 (1x1+2x2),9,13,53287,True,0.040837764739990234,0.040837764739990234,99,11.0,15,10,,
混合方块 (1x1+2x2),9,14,19070,False,0.010654687881469727,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,15,85722,True,0.01566314697265625,0.01566314697265625,128,14.222222222222221,27,0,,
混合方块 (1x1+2x2),9,16,59019,True,0.027889728546142578,0.027889728546142578,108,12.0,20,4,,
混合方块 (1x1+2x2),9,17,99651,False,0.015399694442749023,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,18,97632,False,0.01447749137878418,5.0,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,19,46490,True,1.2215468883514404,1.2215468883514404,120,13.333333333333334,30,216,,
