scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
纯小车 (1x1),10,5,77377,True,0.011123418807983398,128,12.8,27,0,,
纯小车 (1x1),10,6,93645,True,0.025925159454345703,138,13.8,21,4,,
纯小车 (1x1),10,7,3432,True,0.15349435806274414,167,16.7,31,25,,
纯小车 (1x1),10,8,15760,True,0.03190255165100098,140,14.0,27,0,,
纯小车 (1x1),10,9,18847,True,0.03367280960083008,107,10.7,19,4,,
纯小车 (1x1),10,10,49131,True,0.10235476493835449,137,13.7,22,5,,
纯小车 (1x1),10,11,74392,True,0.028574228286743164,117,11.7,20,3,,
纯小车 (1x1),10,12,76341,True,0.048959970474243164,150,15.0,28,6,,
纯小车 (1x1),10,13,74049,True,0.03830909729003906,155,15.5,32,3,,
纯小车 (1x1),10,14,48220,True,0.01752018928527832,132,13.2,27,2,,
纯小车 (1x1),10,15,97242,True,0.0077245235443115234,111,11.1,20,0,,
纯小车 (1x1),10,16,93884,True,0.03447580337524414,99,9.9,28,7,,
纯小车 (1x1),10,17,60474,True,0.015823841094970703,162,16.2,32,0,,
纯小车 (1x1),10,18,70516,True,0.037129878997802734,151,15.1,30,4,,
纯小车 (1x1),10,19,38238,True,0.01342916488647461,126,12.6,19,0,,
纯小车 (1x1),10,20,9884,True,0.10060548782348633,134,13.4,25,11,,
混合方块 (1x1+2x2),6,1,63587,True,0.669947624206543,97,16.166666666666668,28,76,,batch_analysis_v2_optimized\images\paths\混合方块_1x1+2x2_N6.png
混合方块 (1x1+2x2),6,2,87140,True,0.014729499816894531,69,11.5,16,2,,
混合方块 (1x1+2x2),6,3,87554,True,0.011120080947875977,61,10.166666666666666,29,0,,
混合方块 (1x1+2x2),6,4,5310,True,0.08425116539001465,77,12.833333333333334,21,24,,
混合方块 (1x1+2x2),6,5,49828,False,0.013243913650512695,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,6,87273,True,0.21557259559631348,85,14.166666666666666,21,58,,
混合方块 (1x1+2x2),6,7,285,False,0.14256668090820312,-1,-1,-1,29,NoSolution,
混合方块 (1x1+2x2),6,8,78349,True,0.009077072143554688,88,14.666666666666666,24,0,,
混合方块 (1x1+2x2),6,9,64534,False,0.051514625549316406,-1,-1,-1,12,NoSolution,
混合方块 (1x1+2x2),6,10,38976,False,0.01970815658569336,-1,-1,-1,2,NoSolution,
混合方块 (1x1+2x2),6,11,58437,False,0.010449409484863281,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,12,32870,True,0.020119190216064453,93,15.5,21,3,,
混合方块 (1x1+2x2),6,13,53376,True,0.007567644119262695,72,12.0,18,0,,
混合方块 (1x1+2x2),6,14,36323,False,0.009956121444702148,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),6,15,6850,True,0.10896992683410645,117,19.5,30,6,,
混合方块 (1x1+2x2),6,16,98043,True,0.013752460479736328,92,15.333333333333334,23,2,,
混合方块 (1x1+2x2),6,17,77802,True,0.6338238716125488,79,13.166666666666666,19,104,,
混合方块 (1x1+2x2),6,18,72346,True,0.2893257141113281,70,11.666666666666666,19,75,,
混合方块 (1x1+2x2),6,19,8989,True,0.17473196983337402,80,13.333333333333334,22,46,,
混合方块 (1x1+2x2),6,20,31209,False,0.0282900333404541,-1,-1,-1,2,NoSolution,
混合方块 (1x1+2x2),7,1,56,True,0.024528980255126953,144,20.571428571428573,34,0,,batch_analysis_v2_optimized\images\paths\混合方块_1x1+2x2_N7.png
混合方块 (1x1+2x2),7,2,26443,True,0.06762361526489258,106,15.142857142857142,25,12,,
