scenario,seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
纯小车 (1x1),53718,10,20,True,0.11274504661560059,34,128,15,,10,
混合方块 (1x1 + 2x2),32540,4,1,True,0.00846552848815918,25,60,0,,4,
混合方块 (1x1 + 2x2),2367,4,2,False,0.00684046745300293,-1,-1,0,no_solution,4,
混合方块 (1x1 + 2x2),25369,4,3,True,0.011927127838134766,24,70,2,,4,
混合方块 (1x1 + 2x2),34163,4,4,True,0.009880781173706055,29,71,0,,4,
混合方块 (1x1 + 2x2),10235,4,5,True,0.008886098861694336,28,89,0,,4,
混合方块 (1x1 + 2x2),35529,4,6,True,0.004407644271850586,13,39,0,,4,
混合方块 (1x1 + 2x2),45864,4,7,True,0.006543874740600586,23,62,0,,4,
混合方块 (1x1 + 2x2),32731,4,8,True,0.004183530807495117,19,51,0,,4,
混合方块 (1x1 + 2x2),89237,4,9,False,0.026038408279418945,-1,-1,5,no_solution,4,
混合方块 (1x1 + 2x2),6963,4,10,True,0.011095762252807617,18,42,4,,4,
混合方块 (1x1 + 2x2),64849,4,11,True,0.06307125091552734,24,75,18,,4,
混合方块 (1x1 + 2x2),88562,4,12,True,0.020200729370117188,30,68,2,,4,
混合方块 (1x1 + 2x2),1877,4,13,True,0.008153438568115234,18,44,0,,4,
混合方块 (1x1 + 2x2),96027,4,14,True,0.048685312271118164,29,85,4,,4,
混合方块 (1x1 + 2x2),24848,4,15,True,0.005926609039306641,18,37,0,,4,
混合方块 (1x1 + 2x2),36613,4,16,True,0.08695793151855469,19,63,18,,4,
混合方块 (1x1 + 2x2),23825,4,17,True,0.006543159484863281,25,59,0,,4,
混合方块 (1x1 + 2x2),64469,4,18,True,0.13771986961364746,24,76,16,,4,
混合方块 (1x1 + 2x2),86181,4,19,True,0.016965389251708984,34,91,2,,4,
混合方块 (1x1 + 2x2),58395,4,20,True,0.0045735836029052734,17,56,0,,4,
混合方块 (1x1 + 2x2),64122,5,1,True,0.306194543838501,30,92,44,,5,
混合方块 (1x1 + 2x2),77113,5,2,True,0.04913187026977539,21,60,5,,5,
混合方块 (1x1 + 2x2),81916,5,3,True,0.018416166305541992,30,92,3,,5,
混合方块 (1x1 + 2x2),21664,5,4,True,0.004648685455322266,12,49,0,,5,
混合方块 (1x1 + 2x2),10141,5,5,True,0.00590825080871582,19,48,0,,5,
混合方块 (1x1 + 2x2),78925,5,6,True,0.019967317581176758,19,56,8,,5,
混合方块 (1x1 + 2x2),89704,5,7,True,0.008173704147338867,30,80,0,,5,
混合方块 (1x1 + 2x2),10872,5,8,True,0.09484982490539551,25,78,24,,5,
混合方块 (1x1 + 2x2),6208,5,9,True,0.06296014785766602,26,73,10,,5,
混合方块 (1x1 + 2x2),30759,5,10,True,0.00661158561706543,17,52,0,,5,
混合方块 (1x1 + 2x2),72532,5,11,True,0.005030632019042969,14,42,0,,5,
混合方块 (1x1 + 2x2),42511,5,12,True,0.008355379104614258,16,66,0,,5,
混合方块 (1x1 + 2x2),9553,5,13,True,0.016382217407226562,26,86,2,,5,
混合方块 (1x1 + 2x2),60900,5,14,False,0.00773167610168457,-1,-1,0,no_solution,5,
混合方块 (1x1 + 2x2),63290,5,15,True,0.008777856826782227,21,65,0,,5,
混合方块 (1x1 + 2x2),99131,5,16,True,0.011197566986083984,23,59,0,,5,
混合方块 (1x1 + 2x2),58986,5,17,True,0.004512310028076172,16,51,0,,5,
混合方块 (1x1 + 2x2),31487,5,18,True,0.018636465072631836,27,99,0,,5,
混合方块 (1x1 + 2x2),28339,5,19,True,0.006633281707763672,24,61,0,,5,
混合方块 (1x1 + 2x2),21291,5,20,True,0.0063822269439697266,17,53,0,,5,
混合方块 (1x1 + 2x2),99705,6,1,True,0.17822670936584473,13,49,35,,6,
混合方块 (1x1 + 2x2),30249,6,2,True,0.005178928375244141,23,56,0,,6,
混合方块 (1x1 + 2x2),45312,6,3,True,0.0059816837310791016,18,65,0,,6,
混合方块 (1x1 + 2x2),89477,6,4,False,0.42375826835632324,-1,-1,107,no_solution,6,
混合方块 (1x1 + 2x2),60002,6,5,True,0.0060863494873046875,22,59,0,,6,
混合方块 (1x1 + 2x2),11383,6,6,True,0.005640983581542969,17,57,0,,6,
混合方块 (1x1 + 2x2),28158,6,7,False,0.012412786483764648,-1,-1,1,no_solution,6,
混合方块 (1x1 + 2x2),86440,6,8,False,0.008014678955078125,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),36661,6,9,False,0.014017105102539062,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),27554,6,10,False,0.006963014602661133,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),8131,6,11,True,0.006198883056640625,16,61,0,,6,
混合方块 (1x1 + 2x2),7106,6,12,True,0.039231300354003906,21,75,10,,6,
混合方块 (1x1 + 2x2),18544,6,13,False,0.010719537734985352,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),74522,6,14,False,0.008202791213989258,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),62734,6,15,False,0.011934757232666016,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),26012,6,16,True,0.01658487319946289,25,60,2,,6,
混合方块 (1x1 + 2x2),30035,6,17,True,0.49512696266174316,37,140,44,,6,
混合方块 (1x1 + 2x2),45188,6,18,False,0.014091253280639648,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),87750,6,19,False,0.005544900894165039,-1,-1,0,no_solution,6,
混合方块 (1x1 + 2x2),45095,6,20,False,1.657989501953125,-1,-1,320,no_solution,6,
混合方块 (1x1 + 2x2),43326,7,1,False,0.029166698455810547,-1,-1,2,no_solution,7,
混合方块 (1x1 + 2x2),75567,7,2,False,0.018684864044189453,-1,-1,3,no_solution,7,
混合方块 (1x1 + 2x2),81755,7,3,False,0.008744955062866211,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),36769,7,4,False,0.009137630462646484,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),69987,7,5,False,0.013440847396850586,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),21985,7,6,False,0.01886892318725586,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),61071,7,7,False,3.8351972103118896,-1,-1,493,no_solution,7,
混合方块 (1x1 + 2x2),16736,7,8,False,0.00885915756225586,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),64099,7,9,True,0.013329267501831055,20,85,2,,7,
混合方块 (1x1 + 2x2),79414,7,10,False,0.05181241035461426,-1,-1,12,no_solution,7,
混合方块 (1x1 + 2x2),84649,7,11,False,0.005753993988037109,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),24989,7,12,True,0.010312080383300781,28,96,2,,7,
混合方块 (1x1 + 2x2),15539,7,13,True,0.005487680435180664,20,63,0,,7,
混合方块 (1x1 + 2x2),81508,7,14,False,0.008664846420288086,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),99360,7,15,True,0.016361713409423828,22,92,5,,7,
混合方块 (1x1 + 2x2),86080,7,16,False,0.7592968940734863,-1,-1,135,no_solution,7,
混合方块 (1x1 + 2x2),38385,7,17,False,0.006579399108886719,-1,-1,0,no_solution,7,
混合方块 (1x1 + 2x2),63967,7,18,False,3.721140146255493,-1,-1,1015,max_iter,7,
混合方块 (1x1 + 2x2),12361,7,19,True,0.07152819633483887,22,94,32,,7,
混合方块 (1x1 + 2x2),49379,7,20,True,0.01612114906311035,21,76,5,,7,
混合方块 (1x1 + 2x2),99890,8,1,True,0.00777435302734375,15,67,2,,8,
混合方块 (1x1 + 2x2),34916,8,2,True,0.4753096103668213,30,104,114,,8,
